Vertex 		Distance from Source
305	6.131.103.52	425
306	6.139.143.121	273
307	6.141.238.123	418
308	6.148.11.47	445
309	6.151.51.40	343
310	6.156.108.143	329
311	6.171.58.7	164
312	6.173.36.214	363
313	6.175.153.184	391
314	6.176.37.213	385
315	6.187.249.21	230
316	6.190.97.158	274
317	6.199.240.130	278
318	6.202.40.23	439
319	6.202.74.81	464
320	6.211.197.221	220
321	6.213.225.177	342
322	6.220.113.4	348
323	6.221.172.155	362
324	6.222.5.114	208
325	6.226.102.24	321
326	6.230.176.233	199
327	6.234.18.194	291
328	6.235.142.24	339
329	6.237.135.202	335
330	6.245.143.253	292
331	6.252.240.158	471
332	7.1.112.108	439
333	7.7.190.144	385
334	7.7.251.32	386
335	7.9.250.65	330
336	7.14.179.10	378
337	7.15.191.176	232
338	7.19.111.126	286
339	7.25.140.82	384
340	7.25.232.212	397
341	7.31.86.36	552
342	7.38.213.124	408
343	7.44.173.151	534
344	7.53.48.150	311
345	7.53.62.50	256
346	7.54.81.107	267
347	7.55.47.25	433
348	7.65.165.97	412
349	7.65.171.54	378
350	7.80.161.45	283
351	7.83.245.75	456
352	7.84.5.211	549
353	7.87.10.234	463
354	7.89.216.132	360
355	7.89.238.162	383
356	7.90.35.25	373
357	7.96.239.134	317
358	7.99.68.28	170
359	7.101.94.230	330
360	7.102.63.240	453
361	7.102.88.107	417
362	7.110.239.196	271
363	7.110.239.215	481
364	7.122.134.186	330
365	7.126.247.124	458
366	7.131.11.43	291
367	7.131.161.37	389
368	7.133.122.133	406
369	7.137.44.113	149
370	7.140.209.230	267
371	7.140.237.119	372
372	7.146.134.232	305
373	7.149.172.97	314
374	7.150.125.118	412
375	7.155.180.19	491
376	7.158.211.206	223
377	7.162.148.214	283
378	7.162.159.56	346
379	7.171.179.62	517
380	7.171.199.66	285
381	7.181.15.206	339
382	7.185.199.134	402
383	7.193.196.45	312
384	7.194.173.73	384
385	7.195.29.193	367
386	7.196.214.75	416
387	7.197.247.135	456
388	7.203.76.215	438
389	7.205.232.114	306
390	7.207.221.9	486
391	7.210.236.9	418
392	7.211.107.214	416
393	7.214.72.175	313
394	7.219.246.201	439
395	7.224.126.172	280
396	7.227.57.88	400
397	7.230.189.78	354
398	7.233.125.130	367
399	7.235.121.84	379
400	7.248.131.116	231
401	7.250.146.121	310
402	7.252.200.171	293
403	8.6.131.70	319
404	8.8.178.125	431
405	8.20.254.211	226
406	8.21.48.220	187
407	8.29.78.177	329
408	8.52.84.10	373
409	8.54.83.172	405
410	8.56.125.160	497
411	8.68.218.77	160
412	8.72.206.236	316
413	8.78.242.242	321
414	8.79.11.131	401
415	8.81.1.51	373
416	8.81.185.92	391
417	8.83.251.225	342
418	8.90.170.47	272
419	8.93.165.120	362
420	8.96.14.175	422
421	8.103.230.129	382
422	8.104.227.126	282
423	8.106.149.51	259
424	8.112.52.181	301
425	8.112.229.148	347
426	8.113.230.41	244
427	8.115.175.217	305
428	8.117.167.78	402
429	8.117.245.11	409
430	8.121.254.49	380
431	8.126.149.23	409
432	8.130.50.48	295
433	8.133.132.240	413
434	8.134.22.108	286
435	8.136.34.161	231
436	8.138.212.64	408
437	8.146.43.170	318
438	8.147.73.95	290
439	8.150.143.141	388
440	8.151.86.53	254
441	8.156.153.187	247
442	8.158.22.166	496
443	8.161.158.229	343
444	8.166.218.117	365
445	8.171.7.27	227
446	8.179.73.99	480
447	8.181.138.198	295
448	8.182.192.242	398
449	8.190.139.2	345
450	8.194.249.193	503
451	8.195.192.175	373
452	8.209.48.195	316
453	8.212.205.31	293
454	8.216.49.213	441
455	8.217.214.74	186
456	8.221.142.240	264
457	8.222.236.71	432
458	8.224.193.157	375
459	8.227.80.50	323
460	8.228.209.145	272
461	8.234.144.193	388
462	8.240.123.193	232
463	8.241.158.182	537
464	8.251.229.219	292
465	8.254.205.149	505
466	9.9.117.244	194
467	9.12.165.80	301
468	9.21.2.168	295
469	9.25.13.5	317
470	9.41.16.68	464
471	9.42.194.247	405
472	9.47.246.182	398
473	9.49.20.212	439
474	9.53.151.27	244
475	9.64.199.244	190
476	9.66.187.43	371
477	9.69.10.86	378
478	9.70.23.38	481
479	9.73.185.168	343
480	9.75.109.210	274
481	9.77.45.129	361
482	9.84.107.252	334
483	9.84.154.97	236
484	9.86.130.109	357
485	9.99.150.121	337
486	9.105.64.132	483
487	9.105.88.249	325
488	9.108.178.111	287
489	9.118.35.35	277
490	9.123.2.145	408
491	9.124.14.142	308
492	9.133.23.42	570
493	9.140.40.140	389
494	9.142.169.132	286
495	9.144.61.232	290
496	9.147.49.225	249
497	9.147.126.123	240
498	9.161.145.106	263
499	9.163.27.154	344
500	9.167.178.55	443
501	9.171.73.51	229
502	9.175.85.76	429
503	9.182.243.148	260
504	9.185.194.62	321
505	9.191.250.103	357
506	9.199.104.42	496
507	9.200.198.223	327
508	9.200.221.54	324
509	9.208.112.92	419
510	9.211.84.144	436
511	9.221.74.189	197
512	9.228.204.147	336
513	9.231.25.225	200
514	9.231.156.118	216
515	9.240.17.115	277
516	9.244.182.66	230
517	9.246.141.146	382
518	9.253.242.108	491
519	9.254.66.229	409
520	10.9.47.176	269
521	10.10.21.116	423
522	10.27.28.185	305
523	10.33.81.177	440
524	10.34.33.134	452
525	10.44.83.100	258
526	10.45.34.23	254
527	10.45.120.3	305
528	10.56.54.35	331
529	10.56.193.210	257
530	10.64.248.20	315
531	10.70.188.197	320
532	10.74.101.28	395
533	10.80.59.30	524
534	10.81.78.28	290
535	10.86.206.167	411
536	10.89.145.127	340
537	10.93.107.111	599
538	10.95.92.76	318
539	10.95.217.184	363
540	10.99.40.17	378
541	10.99.219.14	308
542	10.110.118.62	364
543	10.111.40.115	342
544	10.114.14.226	392
545	10.116.14.17	615
546	10.117.83.79	314
547	10.118.211.72	285
548	10.120.61.17	400
549	10.125.139.186	231
550	10.133.211.143	544
551	10.133.245.228	209
552	10.139.77.32	246
553	10.140.149.34	366
554	10.146.199.202	408
555	10.150.103.163	570
556	10.153.140.249	390
557	10.153.241.53	460
558	10.155.24.11	330
559	10.158.65.56	558
560	10.164.200.86	379
561	10.164.253.210	525
562	10.165.174.170	278
563	10.170.120.194	293
564	10.178.113.183	357
565	10.178.236.206	365
566	10.181.132.235	338
567	10.182.247.176	360
568	10.187.47.209	315
569	10.189.121.253	376
570	10.197.5.132	262
571	10.198.122.102	317
572	10.205.14.230	336
573	10.211.55.84	350
574	10.212.32.215	355
575	10.217.71.102	310
576	10.218.177.57	354
577	10.230.234.169	460
578	10.238.109.132	361
579	10.239.195.39	259
580	10.247.142.96	344
581	10.253.98.8	409
582	11.6.69.13	356
583	11.16.219.40	285
584	11.17.141.100	294
585	11.30.236.167	337
586	11.42.94.110	434
587	11.45.106.166	280
588	11.46.100.224	389
589	11.57.29.96	357
590	11.59.87.42	334
591	11.59.171.27	324
592	11.60.164.183	436
593	11.61.24.10	351
594	11.65.103.18	383
595	11.68.218.39	276
596	11.69.94.47	366
597	11.78.33.227	219
598	11.79.168.10	268
599	11.84.233.253	334
600	11.98.158.80	369
601	11.102.252.152	376
602	11.104.241.125	300
603	11.105.45.36	431
604	11.106.213.233	306
605	11.110.97.148	373
606	11.115.153.192	228
607	11.116.109.207	401
608	11.120.45.138	374
609	11.122.39.77	324
610	11.129.97.87	242
611	11.142.173.67	406
612	11.143.235.221	383
613	11.146.182.179	323
614	11.160.195.201	332
615	11.161.43.17	237
616	11.161.203.31	420
617	11.162.128.164	296
618	11.162.245.199	173
619	11.165.115.211	283
620	11.166.103.152	131
621	11.177.217.144	529
622	11.181.32.42	356
623	11.183.12.115	307
624	11.184.204.53	370
625	11.186.100.43	199
626	11.190.136.246	393
627	11.199.20.13	357
628	11.206.200.8	451
629	11.208.126.106	259
630	11.221.22.211	357
631	11.228.204.188	372
632	11.234.17.101	79
633	11.234.221.82	199
634	11.243.16.249	442
635	11.247.10.178	340
636	11.248.110.105	349
637	12.6.26.120	316
638	12.10.108.74	341
639	12.10.215.124	374
640	12.12.202.218	322
641	12.20.89.73	313
642	12.20.174.168	348
643	12.33.141.134	422
644	12.34.174.43	404
645	12.35.157.60	376
646	12.36.201.60	509
647	12.43.210.37	325
648	12.49.83.226	304
649	12.51.68.46	238
650	12.64.162.188	297
651	12.74.117.213	321
652	12.76.218.162	266
653	12.79.231.201	357
654	12.86.2.210	232
655	12.87.232.236	400
656	12.89.186.201	332
657	12.93.226.71	361
658	12.100.167.220	361
659	12.104.13.124	440
660	12.105.222.163	429
661	12.106.221.212	323
662	12.109.25.249	422
663	12.140.247.40	400
664	12.151.44.60	310
665	12.151.61.117	382
666	12.162.107.247	366
667	12.173.249.95	540
668	12.177.242.177	360
669	12.180.247.198	384
670	12.183.20.212	604
671	12.183.116.214	583
672	12.186.201.252	363
673	12.187.254.70	660
674	12.188.168.7	531
675	12.194.4.4	281
676	12.200.37.31	574
677	12.207.97.106	419
678	12.207.132.200	421
679	12.214.62.49	274
680	12.221.245.103	288
681	12.223.76.120	359
682	12.230.58.14	347
683	13.1.153.24	297
684	13.3.16.144	410
685	13.12.134.181	187
686	13.15.22.100	413
687	13.20.87.156	284
688	13.21.133.9	418
689	13.30.192.242	249
690	13.36.108.43	369
691	13.37.228.79	345
692	13.40.203.116	243
693	13.41.167.254	239
694	13.43.144.63	303
695	13.54.132.51	314
696	13.60.65.222	349
697	13.70.111.81	497
698	13.70.220.209	202
699	13.73.32.19	354
700	13.75.65.3	330
701	13.75.77.113	260
702	13.81.124.249	610
703	13.82.147.13	317
704	13.86.215.136	254
705	13.92.132.234	294
706	13.93.193.234	295
707	13.97.2.178	351
708	13.97.154.214	407
709	13.100.142.184	357
710	13.115.34.26	590
711	13.115.106.78	380
712	13.120.44.206	366
713	13.138.208.51	467
714	13.145.32.251	307
715	13.148.73.252	308
716	13.149.155.234	386
717	13.155.175.64	448
718	13.160.236.209	407
719	13.161.204.128	364
720	13.162.254.12	353
721	13.163.82.245	374
722	13.163.109.29	465
723	13.164.167.125	322
724	13.164.240.77	189
725	13.169.56.87	345
726	13.170.69.60	475
727	13.172.200.60	271
728	13.184.222.42	383
729	13.185.242.178	311
730	13.194.22.152	382
731	13.196.98.44	259
732	13.198.145.144	380
733	13.202.36.200	335
734	13.206.248.137	333
735	13.217.21.181	313
736	13.221.253.243	384
737	13.227.97.74	518
738	13.233.67.194	225
739	13.233.112.177	260
740	13.244.16.185	369
741	13.247.71.123	335
742	14.2.20.138	335
743	14.12.98.60	420
744	14.19.43.106	82
745	14.21.148.26	327
746	14.23.187.208	443
747	14.26.181.148	503
748	14.27.48.1	328
749	14.34.135.22	340
750	14.35.7.157	563
751	14.50.73.175	331
752	14.53.135.183	395
753	14.53.156.90	155
754	14.57.212.145	292
755	14.59.113.215	321
756	14.59.189.39	409
757	14.62.235.241	463
758	14.68.172.88	320
759	14.70.119.159	376
760	14.92.50.84	300
761	14.106.93.3	383
762	14.108.216.206	371
763	14.110.135.212	320
764	14.114.190.225	247
765	14.130.95.249	386
766	14.135.86.175	423
767	14.135.191.59	486
768	14.136.52.200	367
769	14.142.238.65	435
770	14.143.115.162	311
771	14.165.136.167	598
772	14.169.5.181	555
773	14.178.214.117	431
774	14.188.174.88	378
775	14.191.8.239	215
776	14.193.52.15	414
777	14.195.85.59	260
778	14.195.135.9	402
779	14.201.35.217	210
780	14.203.3.94	281
781	14.208.149.204	397
782	14.209.120.142	405
783	14.222.16.62	331
784	14.231.61.120	393
785	14.236.43.32	393
786	14.244.91.57	281
787	14.246.50.73	384
788	14.250.172.242	320
789	14.251.160.134	387
790	15.15.169.106	304
791	15.18.246.166	195
792	15.32.115.229	315
793	15.33.171.67	473
794	15.36.49.83	474
795	15.46.28.47	226
796	15.47.246.90	257
797	15.48.179.211	407
798	15.50.142.99	309
799	15.50.230.56	410
800	15.61.171.101	360
801	15.64.111.88	315
802	15.66.91.222	134
803	15.72.230.165	305
804	15.81.71.73	431
805	15.82.104.90	414
806	15.84.158.24	234
807	15.87.242.138	321
808	15.98.148.107	270
809	15.99.51.230	402
810	15.99.230.176	434
811	15.105.156.90	321
812	15.113.152.9	353
813	15.113.211.66	256
814	15.122.88.174	369
815	15.126.148.175	281
816	15.129.56.86	618
817	15.131.167.110	408
818	15.133.168.145	325
819	15.133.240.231	428
820	15.137.189.250	355
821	15.138.21.104	386
822	15.138.87.16	531
823	15.141.37.181	221
824	15.143.68.70	311
825	15.145.33.78	488
826	15.147.208.132	351
827	15.148.114.189	261
828	15.148.148.234	431
829	15.150.84.239	247
830	15.156.53.208	398
831	15.159.176.77	622
832	15.174.107.28	301
833	15.177.187.190	341
834	15.184.92.201	459
835	15.186.126.66	304
836	15.187.46.101	186
837	15.190.52.88	237
838	15.203.155.221	282
839	15.206.179.75	309
840	15.210.47.91	403
841	15.214.176.209	360
842	15.223.33.46	318
843	15.223.154.58	319
844	15.228.128.99	253
845	15.232.172.195	484
846	15.239.50.97	473
847	15.248.120.17	231
848	15.252.58.182	398
849	16.6.170.243	217
850	16.13.141.120	402
851	16.18.18.213	341
852	16.21.136.141	356
853	16.26.101.10	253
854	16.27.178.244	508
855	16.39.1.125	303
856	16.39.58.131	432
857	16.49.96.102	299
858	16.51.167.104	370
859	16.52.46.230	230
860	16.54.245.71	380
861	16.57.208.207	492
862	16.60.29.191	332
863	16.61.173.62	440
864	16.62.90.67	368
865	16.65.174.199	284
866	16.67.24.121	419
867	16.72.132.202	394
868	16.73.21.233	515
869	16.81.14.2	507
870	16.87.182.160	338
871	16.88.119.99	216
872	16.90.149.72	353
873	16.101.4.129	522
874	16.110.85.221	399
875	16.111.251.182	492
876	16.113.206.211	292
877	16.114.244.251	396
878	16.118.24.176	294
879	16.123.107.71	431
880	16.128.113.110	501
881	16.128.168.46	238
882	16.136.133.194	279
883	16.136.175.203	383
884	16.143.95.233	384
885	16.143.180.78	275
886	16.151.50.135	355
887	16.157.189.188	460
888	16.160.31.196	428
889	16.162.74.121	483
890	16.168.164.52	372
891	16.168.192.219	428
892	16.173.249.120	336
893	16.174.99.85	349
894	16.175.128.142	427
895	16.188.160.183	331
896	16.189.19.72	369
897	16.192.146.113	375
898	16.210.141.193	300
899	16.211.189.212	400
900	16.219.145.104	302
901	16.225.247.85	335
902	16.233.163.206	467
903	16.234.78.156	367
904	16.236.31.51	286
905	16.242.44.136	166
906	16.250.142.180	576
907	17.4.54.44	256
908	17.11.156.220	400
909	17.12.243.204	236
910	17.13.100.76	439
911	17.28.192.161	332
912	17.30.26.16	266
913	17.34.237.173	301
914	17.35.40.189	339
915	17.39.101.89	365
916	17.40.56.99	294
917	17.42.236.107	304
918	17.55.38.186	135
919	17.55.112.35	426
920	17.63.108.223	280
921	17.70.120.209	359
922	17.76.152.76	755
923	17.86.34.174	254
924	17.95.214.202	382
925	17.102.123.120	347
926	17.110.164.189	373
927	17.113.63.89	348
928	17.115.99.31	237
929	17.126.203.224	405
930	17.127.113.70	353
931	17.133.225.196	343
932	17.134.90.93	435
933	17.135.167.155	421
934	17.137.68.70	346
935	17.146.77.17	437
936	17.146.245.221	345
937	17.151.212.158	308
938	17.152.63.8	300
939	17.153.31.181	401
940	17.185.210.181	441
941	17.186.4.72	350
942	17.193.99.143	332
943	17.208.45.213	368
944	17.210.90.53	344
945	17.213.205.41	300
946	17.216.37.157	303
947	17.227.141.128	307
948	17.229.71.225	390
949	17.239.175.159	342
950	17.239.229.134	409
951	18.11.246.59	482
952	18.13.91.68	298
953	18.15.18.26	520
954	18.19.11.164	258
955	18.20.148.122	377
956	18.35.69.177	319
957	18.42.240.234	174
958	18.54.188.215	376
959	18.60.217.1	152
960	18.67.76.96	484
961	18.72.142.13	426
962	18.75.169.28	536
963	18.79.191.101	363
964	18.80.188.123	393
965	18.81.232.155	536
966	18.87.6.180	333
967	18.101.249.253	544
968	18.116.142.147	340
969	18.120.214.31	445
970	18.122.213.245	416
971	18.123.141.254	272
972	18.124.218.100	514
973	18.133.123.24	329
974	18.137.172.214	359
975	18.155.168.88	373
976	18.157.38.106	416
977	18.161.8.219	229
978	18.172.241.48	271
979	18.176.73.153	500
980	18.194.158.148	408
981	18.196.142.104	318
982	18.202.194.152	258
983	18.207.77.148	238
984	18.214.204.34	393
985	18.219.196.221	374
986	18.228.232.15	370
987	18.231.35.63	379
988	18.241.160.92	303
989	18.242.190.163	349
990	18.244.62.33	352
991	18.244.167.74	341
992	18.248.4.213	282
993	18.250.172.221	313
994	18.251.235.216	481
995	18.254.38.166	386
996	18.254.189.50	299
997	19.11.194.246	429
998	19.23.94.206	233
999	19.49.49.26	213
1000	19.67.11.64	306
1001	19.72.92.131	246
1002	19.72.155.138	276
1003	19.72.226.178	76
1004	19.83.235.205	359
1005	19.85.123.182	322
1006	19.87.36.142	311
1007	19.100.193.206	247
1008	19.102.33.165	384
1009	19.103.119.48	354
1010	19.103.222.204	519
1011	19.104.102.75	409
1012	19.105.189.79	466
1013	19.109.207.44	345
1014	19.114.132.32	332
1015	19.122.3.161	268
1016	19.132.172.124	305
1017	19.155.170.29	322
1018	19.159.8.164	346
1019	19.159.11.66	348
1020	19.159.135.108	250
1021	19.169.115.12	394
1022	19.174.247.163	341
1023	19.183.237.65	470
1024	19.185.2.237	413
1025	19.202.139.148	311
1026	19.205.161.46	411
1027	19.208.107.241	267
1028	19.211.67.249	367
1029	19.213.54.150	339
1030	19.214.223.38	409
1031	19.215.101.141	339
1032	19.225.175.146	277
1033	19.230.235.33	583
1034	19.232.85.10	243
1035	19.234.88.86	394
1036	19.235.151.23	371
1037	19.238.48.95	293
1038	19.243.45.170	395
1039	19.248.209.5	346
1040	19.254.124.51	231
1041	20.6.113.44	429
1042	20.14.10.26	356
1043	20.16.189.173	360
1044	20.21.122.101	488
1045	20.21.130.136	380
1046	20.29.57.172	345
1047	20.34.21.58	358
1048	20.39.154.63	176
1049	20.46.19.23	268
1050	20.56.121.199	411
1051	20.62.118.152	394
1052	20.66.51.230	239
1053	20.71.179.220	443
1054	20.77.219.46	487
1055	20.79.35.178	250
1056	20.81.157.231	430
1057	20.84.134.101	226
1058	20.85.161.49	304
1059	20.92.170.161	299
1060	20.97.232.115	473
1061	20.100.38.233	381
1062	20.101.92.140	449
1063	20.101.138.198	313
1064	20.105.57.216	282
1065	20.111.66.76	384
1066	20.114.231.62	446
1067	20.115.109.246	327
1068	20.116.33.50	348
1069	20.126.26.75	437
1070	20.126.128.84	434
1071	20.127.101.151	511
1072	20.128.167.128	293
1073	20.139.163.65	259
1074	20.143.191.23	340
1075	20.151.22.130	312
1076	20.153.137.11	299
1077	20.155.103.218	175
1078	20.158.167.75	473
1079	20.160.251.250	341
1080	20.162.151.46	521
1081	20.162.238.160	350
1082	20.169.171.199	212
1083	20.170.10.37	404
1084	20.179.164.36	403
1085	20.181.159.17	217
1086	20.184.159.157	301
1087	20.193.216.161	407
1088	20.197.78.29	274
1089	20.197.161.246	334
1090	20.197.242.29	212
1091	20.201.36.98	295
1092	20.208.12.251	337
1093	20.208.45.213	233
1094	20.209.166.140	302
1095	20.215.43.81	288
1096	20.224.79.201	226
1097	20.229.13.39	346
1098	20.235.95.37	326
1099	20.242.129.33	535
1100	20.250.111.215	381
1101	21.6.49.239	365
1102	21.9.240.243	450
1103	21.20.235.190	429
1104	21.29.110.147	180
1105	21.46.43.181	377
1106	21.47.232.237	389
1107	21.49.74.220	406
1108	21.49.237.212	317
1109	21.54.63.166	374
1110	21.59.64.33	308
1111	21.64.233.57	318
1112	21.67.202.105	434
1113	21.70.144.10	355
1114	21.74.231.164	342
1115	21.75.81.129	293
1116	21.79.195.62	276
1117	21.88.189.224	448
1118	21.89.230.187	304
1119	21.91.151.96	516
1120	21.92.7.94	293
1121	21.95.43.240	345
1122	21.99.62.102	462
1123	21.101.213.223	341
1124	21.107.20.33	366
1125	21.113.14.152	371
1126	21.118.83.228	438
1127	21.124.60.162	302
1128	21.126.58.166	486
1129	21.137.197.33	536
1130	21.141.149.111	504
1131	21.142.218.123	345
1132	21.148.163.90	282
1133	21.154.27.133	317
1134	21.158.243.2	305
1135	21.170.206.84	540
1136	21.173.97.179	301
1137	21.190.42.65	347
1138	21.200.104.112	242
1139	21.208.81.243	348
1140	21.219.195.205	399
1141	21.224.233.147	371
1142	21.231.227.132	327
1143	21.234.247.144	257
1144	21.246.104.111	318
1145	21.247.183.33	435
1146	21.253.231.174	323
1147	22.7.86.253	389
1148	22.15.85.210	439
1149	22.20.29.13	299
1150	22.20.206.84	334
1151	22.30.113.217	281
